title,artist,songid,streams,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Giove,Deddy,3DSRqnriffpPi7vopWeTWU,327052,it,0.506,0.719,9,-6.113,1,0.0536,0.0611,0.0,0.0866,0.589,140.064,164960,4
Tutte le volte,Alessandra Amoroso,5tStyrWqAoQVA2tP8cfWYk,325972,it,0.732,0.805,6,-5.365,1,0.0503,0.0185,0.000119,0.05,0.866,105.034,177200,4
Serpenti (feat. Geolier),Lele Blade,3Ox3kTgKVoydBgIti7n0K3,325497,it,0.668,0.596,9,-7.293,1,0.223,0.207,0.0,0.0985,0.301,93.979,132040,4
Don't Be Shy,"Tiësto, KAROL G",0bI7K9Becu2dtXK1Q3cZNB,324109,it,0.77,0.787,11,-3.748,0,0.0583,0.198,0.0,0.262,0.513,119.986,140500,4
Just For Fun (feat. Yung Snapp),Lele Blade,1FX1O32qSCeloaQLN9XdGl,321836,it,0.867,0.569,5,-7.681,0,0.2,0.0527,0.0,0.104,0.378,115.073,135227,4
PARTIRE DA TE (feat. Madame) - MTV Unplugged,Rkomi,54RMZHyUfbJvknAkHHNnaI,319666,it,0.8,0.454,11,-8.58,0,0.0506,0.691,0.0,0.11,0.573,95.089,225598,4
Bottiglie Privè,Sfera Ebbasta,7kPAFMdW9WwDyz5BzntfJr,312902,it,0.669,0.618,5,-7.021,0,0.0487,0.0908,0.0,0.0934,0.206,144.905,189868,4
DIO PERDONAMI (64 Bars),"BLANCO, Drast",5O6w2iUCO0z1n7jXXF0H8b,311808,it,0.707,0.803,7,-4.071,1,0.265,0.348,0.0,0.178,0.645,119.628,150250,4
DUBAI,"Rondodasosa, Nko",57GZGMVY9ivqEqKIDPA1HK,310105,it,0.678,0.683,1,-6.448,1,0.135,0.443,0.0,0.14,0.592,138.034,201848,4
Rasputin,"Majestic, Boney M.",0b18g3G5spr4ZCkz7Y6Q0Q,309753,it,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210,4
BED,"Joel Corry, RAYE, David Guetta",0siYMEsGrzzzlWLXK5zJfS,309393,it,0.671,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.333,0.618,123.989,178088,4
ALTALENE (feat. Mara Sattei & Coez),"BLOODY VINYL, Slait, tha Supreme",2zqxUV6h5y6Y9WhyH0FVvX,308726,it,0.647,0.692,6,-4.6,1,0.098,0.108,0.0,0.126,0.342,139.693,186853,3
FANTASMI ( feat. Geolier & Marracash),TY1,21GyhjROpCcIl4NOW96pg9,308417,it,0.798,0.544,7,-8.607,0,0.079,0.116,0.0,0.122,0.342,120.094,199413,4
Mi Manchi,Aka 7even,7mWPjS3fX0ymPSrkDJrVaP,306269,it,0.635,0.779,8,-4.976,1,0.0389,0.235,0.0,0.12,0.355,126.838,164013,4
Baby (with J Balvin),Sfera Ebbasta,3eblNP3Zd5b5J3JaOckl8Y,303933,it,0.755,0.882,10,-1.957,0,0.0532,0.125,0.00142,0.103,0.606,99.984,193555,4
Hypnotized,"Purple Disco Machine, Sophie and the Giants",0vWUhCPxpJOJR5urYbZypB,302802,it,0.69,0.813,11,-5.084,0,0.0997,0.0968,0.000324,0.109,0.704,108.078,195658,4
"Venere e Marte (feat. Marco Mengoni, Frah Quintale)",Takagi & Ketra,4O3sAZoZDIhNRcfHNuU4Ps,298876,it,0.737,0.726,10,-5.52,1,0.0618,0.0261,0.0,0.111,0.564,119.991,222047,3
Another Love,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,297771,it,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,244360,4
No Cap (feat. Geolier),"Emis Killa, Jake La Furia",3uqFFmxrCv4nzkKFSNbXHv,297005,it,0.769,0.764,0,-4.187,0,0.0636,0.0579,0.0,0.252,0.741,134.107,193433,4
Levitating (feat. DaBaby),Dua Lipa,5nujrmhLynf4yMoMtj8AQF,296701,it,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
Head & Heart (feat. MNEK),Joel Corry,6cx06DFPPHchuUAcTxznu9,296545,it,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,4
Hecha Pa' Mi,Boza,3VvA1wSxukMLsvXoXtlwWx,296242,it,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,186133,4
M' Manc (con Geolier & Sfera Ebbasta),Shablo,0MLu1cFYL4ikdRTdasCQT9,295257,it,0.703,0.704,6,-6.117,0,0.0641,0.048,0.0,0.41,0.725,139.933,180000,4
BUGIE (feat. Rkomi & Carl Brave),Madame,5dP8HoPhDJ53ILl7oxfA87,292896,it,0.783,0.741,7,-6.966,0,0.14,0.298,0.0,0.0786,0.39,128.057,171603,4
Caribe,"VillaBanks, Linch, Brando Luis",5by3TCFHK3YRQzxpR9PcZ0,287647,it,0.932,0.419,0,-7.905,0,0.158,0.222,0.0,0.0798,0.49,139.962,140786,4
Fireworks (feat. Moss Kena & The Knocks),Purple Disco Machine,4hdzNRErhJx0hPmF8xh2ht,286040,it,0.753,0.793,1,-5.278,0,0.0426,0.0073,3.36e-06,0.154,0.787,118.03,200016,4
Cenere,"Nashley, 2nd Roof",45xyKCey4BM3fMeFEsF1Hp,284469,it,0.722,0.685,7,-8.815,0,0.114,0.683,2.52e-05,0.141,0.334,109.968,170196,4
Il tuo nome,Il Tre,2RVdq0QXC4JxU0X51ZQYaH,284447,it,0.745,0.855,9,-3.973,1,0.176,0.0704,0.0,0.119,0.453,101.904,170588,4
"SEVEN 7oo (feat. Rondodasosa, Sacky, Vale Pain, Neima Ezza, Kilimoney, Keta, Nko)",RM4E,2KYLg9El0wzvX4S13CDoZf,282921,it,0.609,0.711,10,-4.764,0,0.163,0.169,0.0,0.267,0.439,137.82,209565,4
TATUAGGI (feat. ARIETE),PSICOLOGI,15WIkk29b7NqOK2poTRnOU,282187,it,0.609,0.69,5,-6.075,1,0.0949,0.346,0.0,0.162,0.654,94.973,185979,4
Portofino,Il Pagante,6xc77qJbTNh3yQzSopZEuw,278098,it,0.884,0.758,0,-6.171,0,0.0973,0.117,0.0,0.091,0.591,124.004,165605,4
Where Are You Now,"Lost Frequencies, Calum Scott",3uUuGVFu1V7jTQL60S1r8z,277424,it,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,148197,4
Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,00GxbkrW4m1Tac5xySEJ4M,277362,it,0.754,0.725,8,-6.058,1,0.0661,0.0104,0.0,0.192,0.271,120.002,208133,4
Senza Di Me (feat. Venerus & Franco126),Gemitaiz,3xGD5KhnizETt7KQwxtUAc,276967,it,0.698,0.636,8,-5.844,1,0.034,0.167,0.0,0.125,0.313,107.282,201961,3
Chico (feat. Rose Villain & Luchè),"Guè Pequeno, Luche",3Xhl7OqWAFgVxQKrWhyVVO,276106,it,0.778,0.819,0,-3.873,0,0.0531,0.164,0.0,0.111,0.637,144.953,201931,4
Buongiorno vita,Ultimo,0IxDw5m8XyFBnrCXAppF53,275230,it,0.559,0.541,7,-5.451,1,0.0431,0.59,0.0,0.152,0.48,145.169,190840,4
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,271780,it,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
Chic,Izi,7jUJ2RmT4PFHHq4goMWqm3,271204,it,0.471,0.628,2,-6.197,0,0.187,0.269,0.0,0.195,0.19,129.996,212640,4
0 passi,Deddy,1feGbMzfkaybNk96cXcqnO,271085,it,0.795,0.664,9,-6.209,1,0.141,0.116,0.0,0.143,0.576,102.102,163529,4
CORALINE,Måneskin,7HMz8o0m7ASQ3ImFPfhWTY,269783,it,0.363,0.678,2,-4.939,0,0.0995,0.0299,0.0,0.324,0.321,162.124,300413,4
love nwantiti (feat. ElGrande Toto) - North African Remix,"CKay, ElGrandeToto",1EYeZGTMCjV7uVey5fNWXM,267939,it,0.642,0.723,1,-6.149,1,0.243,0.58,0.000942,0.112,0.487,186.043,135480,4
TN,"Samy, Keta, Simba La Rue, Manny Troublez",5cdvB6qot5ELUJewPYZk9P,267903,it,0.691,0.569,8,-8.142,0,0.309,0.17,0.0,0.185,0.44,143.13,179580,4
Kiss Me More (feat. SZA),Doja Cat,3DarAbFujv6eYNliUTyqtz,266837,it,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667,4
Banlieue,"Simba La Rue, BaGang, Philip",5sPNISFV4DZE90VBbofURx,266644,it,0.725,0.645,1,-9.919,1,0.317,0.0627,0.0,0.327,0.839,110.92,218371,4
Torna a casa,Måneskin,3590AAEoqH50z4UmhMIY85,265710,it,0.425,0.638,1,-3.184,0,0.0759,0.426,0.0,0.177,0.45,81.396,230667,4
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,5zFglKYiknIxks8geR8rcL,265608,it,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,227395,4
Te lo prometto,Il Tre,54XyhRMNYql10BhZEjVd6P,264931,it,0.804,0.841,10,-5.106,0,0.195,0.144,0.0,0.248,0.637,121.949,184968,4
ME O LE MIE CANZONI? (con GAZZELLE),"Rkomi, Night Skinny",6ejXRb28P9wvSU4CRdIcbm,263928,it,0.624,0.719,1,-5.903,1,0.0462,0.29,0.0,0.23,0.186,87.993,167479,4
CHIAMAMI PER NOME,"Francesca Michielin, Fedez",0ZqHo6eTBHUcOVjZzPvftT,263239,it,0.641,0.636,10,-4.318,1,0.0414,0.289,0.0,0.125,0.285,89.826,222667,4
Sempre In Due,Carl Brave x Franco126,6ElWuGFrYbsf2mdHWUoGCk,262650,it,0.596,0.758,9,-7.049,0,0.0802,0.0835,0.0,0.147,0.551,77.474,190452,4
64 BARRE DI PAURA,"Marracash, Marz",6JPEGmxZ9pTBNDCyf4PMbf,261636,it,0.817,0.718,8,-3.913,1,0.209,0.231,0.0,0.067,0.294,135.186,131778,4
Piccola Stella,Ultimo,6sLBJkMyZIkGevtpYgeotT,260652,it,0.487,0.465,2,-8.019,1,0.0474,0.341,0.0,0.111,0.288,179.907,232667,3
Meteoriti,Mr.Rain,1Lf1F7qEOS4O4wl9l8lmUq,260027,it,0.608,0.499,1,-9.593,1,0.0724,0.455,0.0,0.16,0.293,76.957,188253,4
Il bacio di Klimt,Emanuele Aloia,3E1FgPTXX203rgBTD5nlKF,259858,it,0.685,0.764,9,-4.503,1,0.0664,0.45,0.0,0.227,0.315,80.037,177000,4
Mediterranea,Irama,2Up8QSKRV7WnZxZAQasEUq,259692,it,0.711,0.916,11,-4.678,1,0.0587,0.113,0.0,0.188,0.79,130.013,177810,4
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,5Z9KJZvQzH6PFmb8SNkxuk,11527935,us,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353,4
Way 2 Sexy (with Future & Young Thug),Drake,0k1WUmIRnG3xU6fvvDVfRG,9596386,us,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
STAY (with Justin Bieber),The Kid LAROI,5PjdY0CKGZdEuoNab3yDmX,9530987,us,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
Knife Talk (with 21 Savage ft. Project Pat),Drake,2BcMwX1MPV6ZHP4tUT9uq6,8882807,us,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,4
Heat Waves,Glass Animals,02MWAaffLxlfxAUY7c5dvx,7634481,us,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
THATS WHAT I WANT,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,6236849,us,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4
good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,6010985,us,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4
Fair Trade (with Travis Scott),Drake,40iJIUlhi6renaREYGeIDS,5938632,us,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,291175,4
family ties (with Kendrick Lamar),BaKeem,3QFInJAm9eyaho5vBzxInN,5634545,us,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,252262,4
Need To Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,5581877,us,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4
MONTERO (Call Me By Your Name),Lil Nas X,1SC5rEoYDGUK4NfG82494W,5565971,us,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,137704,4
Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",07MDkzWARZaLEdKxo6yArG,5255801,us,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4
Kiss Me More (feat. SZA),Doja Cat,3DarAbFujv6eYNliUTyqtz,5224423,us,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667,4
Woman,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4,5091738,us,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4
Girls Want Girls (with Lil Baby),Drake,37Nqx7iavZpotJSDXZWbJ3,4842532,us,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,221980,4
Hurricane,Kanye West,0RbW8kWozrVSIGb4V13o0o,4728798,us,0.587,0.561,0,-6.569,1,0.146,0.0466,0.0,0.109,0.351,80.009,243187,4
2055,Sleepy Hallow,4XvcHTUfIlWfyJTRG0aqlo,4600514,us,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,123987,4
Happier Than Ever,Billie Eilish,4RVwu0g32PAqgUiJoXsdF8,4579433,us,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3
My Universe,"Coldplay, BTS",3FeVmId7tL5YN8B7R3imoM,4456573,us,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,228000,4
Shivers,Ed Sheeran,75MNhvTCCKsST3YqqUiU9r,4400399,us,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4
Bad Habits,Ed Sheeran,6PQ88X9TkUIAUIZJHW2upE,4359041,us,0.808,0.897,11,-3.712,0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,231041,4
Your Heart,"Joyner Lucas, J. Cole",2DTpP3caqX3QdJIEoS83mD,4330719,us,0.861,0.637,6,-7.701,0,0.133,0.392,0.0,0.0929,0.754,87.006,198621,4
Pepas,Farruko,5fwSHlTEWpluwOM0Sxnh5k,4006026,us,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4
traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,3983123,us,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,4
Beggin',Måneskin,3Wrjm47oTz2sjIgck11l5e,3838833,us,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,211560,4
Levitating (feat. DaBaby),Dua Lipa,5nujrmhLynf4yMoMtj8AQF,3717505,us,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
Moon,Kanye West,2Rd4eJ4KwXQQn2sMSToyUM,3671994,us,0.319,0.236,5,-9.644,1,0.0318,0.898,1.62e-05,0.272,0.254,162.351,156091,4
Too Easy,"Gunna, Future",4eL3XeuGaEoVT8ttDh3hwY,3662105,us,0.798,0.574,1,-6.548,1,0.157,0.024,0.0,0.122,0.309,155.964,138587,4
Dark Red,Steve Lacy,37y7iDayfwm3WXn5BiAoRk,3643610,us,0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041,173104,4
Get Into It (Yuh),Doja Cat,0W6I02J9xcqK8MtSeosEXb,3468579,us,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,138293,4
Wildest Dreams (Taylor's Version),Taylor Swift,1Ov37jtRQ2YNAe8HzfczkL,3442997,us,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433,4
Champagne Poetry,Drake,2HSmyk2qMN8WQjuGhaQgCk,3410280,us,0.423,0.667,6,-7.012,0,0.326,0.758,0.0,0.246,0.496,86.743,336511,4
Fancy Like,Walker Hayes,0lnpnsrVaW9elGgRxpDCgE,3367414,us,0.649,0.76,1,-6.487,1,0.0574,0.114,0.0,0.317,0.843,80.018,161853,4
RAPSTAR,Polo G,18vXApRmJSgQ6wG2ll9AOg,3315038,us,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,165926,4
deja vu,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,3073778,us,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4
Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,3049159,us,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
No Friends In The Industry,Drake,2tUL6dZf1mywCj5WvCPZw6,3036853,us,0.84,0.744,1,-4.751,1,0.113,0.0181,0.0,0.629,0.171,83.737,204347,4
Wants and Needs (feat. Lil Baby),Drake,65OVbaJR5O1RmwOQx0875b,2978967,us,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956,4
Off The Grid,Kanye West,2gbMPBrBVj3CuNTLp2dHYs,2942935,us,0.546,0.64,8,-5.582,1,0.37,0.0438,0.0,0.137,0.63,137.728,339250,4
Ain't Shit,Doja Cat,5lAnYvAIkSDNXqfo7DyFUm,2931350,us,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,174253,4
Freaks,Surf Curse,7EkWXAI1wn8Ii883ecd9xr,2892841,us,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062,4
Jugaste y Sufrí,"Eslabon Armado, DannyLux",3NqBxTOMCJ3zW9CIP51td4,2886876,us,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,275194,1
Have Mercy,Chlöe,5SixeLvPsYpk7qq9lo5xYg,2882394,us,0.903,0.535,9,-6.434,1,0.0742,0.297,0.0,0.345,0.508,130.022,148779,4
Sharing Locations (feat. Lil Baby & Lil Durk),Meek Mill,3J4VKkUpLvomXJbn9ZAypO,2791847,us,0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951,161053,4
Life Goes On,Oliver Tree,0eu4C55hL6x29mmeAjytzC,2725174,us,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,161803,4
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,2702416,us,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,4
No Role Modelz,J. Cole,62vpWI1CHwFy7tMIcSStl8,2688686,us,0.692,0.521,10,-8.465,0,0.33,0.301,0.0,0.0565,0.463,100.45,292987,4
Cold Heart - PNAU Remix,"Elton John, Dua Lipa",6zSpb8dQRaw0M1dK8PBwQz,2679140,us,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4
SCOOP (feat. Doja Cat),Lil Nas X,6bpq1jGkVz66Q3LYeoXdjZ,2661105,us,0.841,0.527,6,-8.116,1,0.149,0.0427,1.54e-06,0.12,0.582,163.975,174164,4
drivers license,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH,2648053,us,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013,4
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,30QR0ndUdiiMQMA9g1PGCm,2628211,us,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490,4
A-O-K,Tai Verdes,1sx0XsWUusUoPstbvokZjP,2625947,us,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,173640,4
love nwantiti (ah ah ah),CKay,2Xr1dTzJee307rmrkt8c0g,2530924,us,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,145800,4
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,2523160,us,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
No Where,YoungBoy Never Broke Again,1lfYsrLHXzo3s7NpHb1fIS,2517194,us,0.657,0.496,5,-7.346,1,0.0889,0.213,0.0,0.12,0.352,146.061,157845,4
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,37BZB0z9T8Xu7U3e65qxFy,2490077,us,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4
Miss The Rage (feat. Playboi Carti),Trippie Redd,5gZYpjakt37G3c58FKcQwJ,2428338,us,0.581,0.877,8,-4.938,1,0.114,0.0151,0.0,0.826,0.353,77.006,236883,4
Yonaguni,Bad Bunny,2JPLbjOn0wPCngEot2STUS,2389342,us,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4
Take My Breath,The Weeknd,6M3PsepEj5gyJoIi7Xvr7u,2377489,us,0.747,0.739,8,-6.008,1,0.0487,0.0106,2.22e-05,0.101,0.523,120.996,220196,4
TSU,Drake,4s7QLoImIwmPi9L6dq1nVW,2376006,us,0.568,0.56,9,-9.059,1,0.42,0.228,3.05e-06,0.39,0.246,130.019,308756,4
favorite crime,Olivia Rodrigo,5JCoSi02qi3jJeHdZXMmR8,2290810,us,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,152667,4
Lonely (with Lil Wayne),DaBaby,6pmNoWKk0r6zfIjWneJRxR,2277823,us,0.718,0.628,0,-5.334,1,0.373,0.0884,0.0,0.186,0.771,139.769,154433,4
DOLLA SIGN SLIME (feat. Megan Thee Stallion),Lil Nas X,7zQirOExB0VR8yWUOqYeio,2262269,us,0.923,0.533,11,-6.016,0,0.262,0.0504,0.0,0.102,0.587,133.991,145075,4
Thot Shit,Megan Thee Stallion,5zNW5ARjYhJQJz1AChP33n,2250928,us,0.95,0.693,9,-3.424,1,0.0898,0.0133,0.0,0.173,0.891,130.02,184635,4
Tell Em,"Cochise, $NOT",7nc7mlSdWYeFom84zZ8Wr8,2243331,us,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,180380,4
You Right,"Doja Cat, The Weeknd",0k4d5YPDr1r7FX77VdqWez,2225348,us,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,4
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",7MAibcTli4IisCtbHKrGMh,2215280,us,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,4
my ex's best friend (with blackbear),Machine Gun Kelly,7kDUspsoYfLkWnZR7qwHZl,2191594,us,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,139461,4
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0RiRZpuVRbi7oqRdSMwhQY,2186003,us,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4
Heartbreak Anniversary,Giveon,3FAJ6O0NOHQV8Mc5Ri6ENp,2185001,us,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371,3
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,2169263,us,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
Rich MF (feat. Polo G & Lil Durk),Trippie Redd,6cUHiQEECDl5m3WFGQ1GCR,2141645,us,0.756,0.698,6,-5.464,1,0.178,0.0849,0.0,0.221,0.66,77.497,247714,4
Leave Before You Love Me (with Jonas Brothers),Marshmello,4qu63nuBpdn0qHUHuObEj1,2133153,us,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983,4
Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,2120994,us,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4
Pain,PinkPantheress,7CIERzyqIwLVKGp00YbHRO,2102490,us,0.829,0.617,1,-8.497,1,0.14,0.227,0.00306,0.0618,0.81,125.605,98544,4
Loverboy,A-Wall,0qXP5fMhxGzxALOkXYUxfP,2095366,us,0.604,0.466,0,-10.093,1,0.0315,0.649,0.0334,0.093,0.499,120.045,224520,4
She Knows (feat. Amber Coffman & Cults),J. Cole,0Fs9cdPDhptWEDJmiCbkEW,2090373,us,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520,4
Motley Crew,Post Malone,40uMIn2zJLAQhNXghRjBed,2086229,us,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,184213,4
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,5JKnYZOhSP7rOK0jPYcCjV,2085011,us,0.374,0.83,11,-5.203,0,0.0584,0.00213,0.0,0.15,0.204,90.19,168398,4
brutal,Olivia Rodrigo,6SRsiMl7w1USE4mFqrOhHC,2082992,us,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747,4
telepatía,Kali Uchis,6tDDoYIxWvMLTdKpjFkc1B,2071860,us,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4
In The Bible (with Lil Durk & Giveon),Drake,61S79KIVA4I9FXbnsylEHT,2070831,us,0.686,0.385,7,-8.35,0,0.297,0.614,0.0,0.131,0.147,143.07,296568,4
YKWIM?,Yot Club,2vWBUC9djv6BtiGlmKiQaH,2070560,us,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,212750,3
Martin & Gina,Polo G,1VLtjHwRWOVJiE5Py7JxoQ,2063429,us,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,132833,4
"jealousy, jealousy",Olivia Rodrigo,0MMyJUC3WNnFS1lit5pTjk,2061862,us,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,173160,4
Rumors (feat. Cardi B),Lizzo,6KgtcmCF9Ky68XC7ezxl3s,2057723,us,0.827,0.731,4,-5.524,0,0.088,0.13,0.0,0.418,0.607,118.992,172833,4
Volví,"Aventura, Bad Bunny",2vmfvSoZBFAt9hhRoEByLi,2053328,us,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,230125,4
Mood (feat. iann dior),24kGoldn,4jPy3l0RUwlUI9T5XHBW2m,2050016,us,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,140533,4
Mr. Brightside,The Killers,003vvx7Niy0yvhvHt4a68B,2047736,us,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973,4
